-1.43600000E-5,-5.70771107E-7
-1.43200000E-5,1.40235257E-6
-1.42800000E-5,4.56364692E-5
-1.42400000E-5,6.30303740E-5
-1.42000000E-5,2.97776272E-5
-1.41600000E-5,3.40809302E-5
-1.41200000E-5,1.27861443E-5
-1.40800000E-5,1.94971604E-5
-1.40400000E-5,2.43324707E-5
-1.40000000E-5,4.30982934E-5
-1.39600000E-5,2.46338128E-5
-1.39200000E-5,2.24785659E-5
-1.38800000E-5,3.79633672E-5
-1.38400000E-5,4.74525227E-5
-1.38000000E-5,1.96080823E-5
-1.37600000E-5,2.37470577E-5
-1.37200000E-5,3.31025938E-5
-1.36800000E-5,3.62065178E-5
-1.36400000E-5,4.96114111E-6
-1.36000000E-5,4.11089382E-5
-1.35600000E-5,1.98077531E-5
-1.35200000E-5,1.02325747E-6
-1.34800000E-5,7.70248765E-6
-1.34400000E-5,3.33745055E-5
-1.34000000E-5,-2.82314018E-6
-1.33600000E-5,8.99890153E-7
-1.33200000E-5,4.84399953E-5
-1.32800000E-5,2.16722819E-5
-1.32400000E-5,4.13720951E-5
-1.32000000E-5,1.79145092E-5
-1.31600000E-5,8.18994877E-6
-1.31200000E-5,2.96069099E-5
-1.30800000E-5,2.16791483E-5
-1.30400000E-5,-6.75152522E-6
-1.30000000E-5,4.09831772E-5
-1.29600000E-5,1.13245620E-5
-1.29200000E-5,5.09363715E-5
-1.28800000E-5,1.15275230E-5
-1.28400000E-5,-1.32358259E-6
-1.28000000E-5,3.71759278E-5
-1.27600000E-5,2.27795360E-5
-1.27200000E-5,3.89635714E-5
-1.26800000E-5,2.04878183E-5
-1.26400000E-5,5.12276332E-5
-1.26000000E-5,2.05970331E-5
-1.25600000E-5,5.46139974E-5
-1.25200000E-5,3.28143744E-5
-1.24800000E-5,-1.38210005E-6
-1.24400000E-5,1.78637356E-5
-1.24000000E-5,8.13628551E-6
-1.23600000E-5,4.59538234E-5
-1.23200000E-5,2.40329598E-5
-1.22800000E-5,9.12439707E-6
-1.22400000E-5,2.47678231E-5
-1.22000000E-5,4.99759546E-5
-1.21600000E-5,6.87530864E-6
-1.21200000E-5,3.68664605E-5
-1.20800000E-5,3.93545111E-5
-1.20400000E-5,9.04563310E-6
-1.20000000E-5,2.74260760E-5
-1.19600000E-5,1.02419699E-5
-1.19200000E-5,2.88151885E-5
-1.18800000E-5,1.58311217E-5
-1.18400000E-5,7.03154911E-6
-1.18000000E-5,2.14596888E-5
-1.17600000E-5,3.36632876E-5
-1.17200000E-5,-2.49209119E-6
-1.16800000E-5,-1.62334423E-5
-1.16400000E-5,2.38440845E-5
-1.16000000E-5,4.38883650E-5
-1.15600000E-5,5.11375205E-5
-1.15200000E-5,2.41253708E-5
-1.14800000E-5,1.06398333E-5
-1.14400000E-5,3.34339194E-5
-1.14000000E-5,9.55989248E-6
-1.13600000E-5,3.57838970E-5
-1.13200000E-5,9.42092305E-6
-1.12800000E-5,6.48090435E-5
-1.12400000E-5,1.47177068E-5
-1.12000000E-5,1.17195930E-5
-1.11600000E-5,3.97760638E-5
-1.11200000E-5,3.19029954E-5
-1.10800000E-5,1.24143257E-5
-1.10400000E-5,3.66697636E-6
-1.10000000E-5,1.87151665E-5
-1.09600000E-5,3.79721506E-5
-1.09200000E-5,3.93581160E-5
-1.08800000E-5,5.30945080E-5
-1.08400000E-5,2.13132902E-5
-1.08000000E-5,2.85114337E-5
-1.07600000E-5,1.88244099E-5
-1.07200000E-5,2.16761252E-5
-1.06800000E-5,2.61866235E-5
-1.06400000E-5,3.89526137E-5
-1.06000000E-5,2.97224285E-5
-1.05600000E-5,4.59697688E-5
-1.05200000E-5,5.03023211E-5
-1.04800000E-5,5.33928269E-5
-1.04400000E-5,-8.68410820E-6
-1.04000000E-5,6.39870811E-5
-1.03600000E-5,-1.59947757E-5
-1.03200000E-5,2.39090870E-5
-1.02800000E-5,2.06556745E-5
-1.02400000E-5,2.50612305E-5
-1.02000000E-5,3.55782753E-5
-1.01600000E-5,3.62598759E-5
-1.01200000E-5,1.26789990E-5
-1.00800000E-5,2.54404306E-5
-1.00400000E-5,3.32555346E-5
-1.00000000E-5,1.32899991E-5
-9.96000000E-6,1.53421156E-5
-9.92000000E-6,5.22406738E-5
-9.88000000E-6,3.86031206E-5
-9.84000000E-6,4.11927662E-5
-9.80000000E-6,5.22317760E-5
-9.76000000E-6,7.32842714E-5
-9.72000000E-6,1.78037208E-5
-9.68000000E-6,1.59292357E-5
-9.64000000E-6,2.72465372E-5
-9.60000000E-6,5.65935774E-5
-9.56000000E-6,3.51068645E-5
-9.52000000E-6,-1.26393296E-5
-9.48000000E-6,1.27610627E-5
-9.44000000E-6,2.80371810E-5
-9.40000000E-6,3.30861525E-5
-9.36000000E-6,5.35688466E-5
-9.32000000E-6,1.73736900E-5
-9.28000000E-6,4.63838542E-5
-9.24000000E-6,2.43538521E-5
-9.20000000E-6,8.26523182E-6
-9.16000000E-6,3.95715102E-5
-9.12000000E-6,3.54773861E-5
-9.08000000E-6,1.75588649E-5
-9.04000000E-6,1.70279353E-5
-9.00000000E-6,3.83156927E-5
-8.96000000E-6,-1.20876019E-6
-8.92000000E-6,1.31510964E-5
