phi_deg,I_mV
90,5.16
80,5.00
70,4.55
60,3.87
50,3.02
40,2.15
30,1.333
20,0.667
10,0.243
0,0.113
-10,0.274
-20,0.710
-30,1.400
-40,2.21
-50,3.06
-60,3.91
-70,4.58
-80,5.01
-90,5.17
